Detailed Statistics Departures  
Origin Airport: Chicago, IL: Chicago O'Hare International (ORD)
Airline: PSA Airlines Inc. (OH)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021 and 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","01/23/2019","5127","N716PS","STL","07:15","07:09","80","102","-6","07:47","38","0","0","16","0","0"
"OH","01/23/2019","5252","N216PS","DAY","18:19","18:41","68","76","22","19:01","20","0","22","8","0","0"
"OH","01/23/2019","5255","N518AE","DAY","12:10","12:28","72","77","18","12:58","30","0","18","5","0","0"
"OH","01/24/2019","5048","N719PS","DAY","22:05","22:20","62","58","15","22:36","16","0","0","0","0","0"
"OH","01/24/2019","5127","N518AE","STL","07:15","07:14","80","61","-1","07:24","10","0","0","0","0","0"
"OH","01/24/2019","5157","N260JS","LEX","08:14","08:18","77","78","4","08:38","20","0","0","0","0","0"
"OH","01/24/2019","5252","N509AE","DAY","18:19","18:28","68","66","9","18:45","17","0","0","0","0","0"
"OH","01/24/2019","5255","N544AE","DAY","12:10","12:49","72","58","39","13:01","12","0","25","0","0","0"
"OH","01/25/2019","5048","N504AE","DAY","22:05","22:47","62","57","42","22:56","9","0","8","0","0","29"
"OH","01/25/2019","5127","N511AE","STL","07:15","07:14","80","68","-1","07:28","14","0","0","0","0","0"
"OH","01/25/2019","5157","N509AE","LEX","08:14","08:31","77","87","17","09:01","30","6","0","10","0","11"
"OH","01/25/2019","5252","N720PS","DAY","18:19","19:06","68","60","47","19:23","17","0","39","0","0","0"
"OH","01/25/2019","5255","N720PS","DAY","12:10","12:08","72","73","-2","12:19","11","0","0","0","0","0"
"OH","01/26/2019","5048","N506AE","DAY","22:05","23:40","62","57","95","23:51","11","38","26","0","0","26"
"OH","01/26/2019","5127","N516AE","STL","07:15","09:23","80","78","128","09:44","21","126","0","0","0","0"
"OH","01/26/2019","5252","N247JS","DAY","18:19","18:55","68","71","36","19:15","20","0","36","3","0","0"
"OH","01/27/2019","5048","N514AE","DAY","22:05","22:18","62","75","13","22:50","32","0","13","13","0","0"
"OH","01/27/2019","5127","N539EA","STL","07:15","07:32","80","73","17","07:54","22","0","0","0","0","0"
"OH","01/27/2019","5157","N544AE","LEX","08:14","09:43","77","65","89","09:55","12","0","9","0","0","68"
"OH","01/27/2019","5252","N518AE","DAY","18:19","18:17","68","62","-2","18:33","16","0","0","0","0","0"
"OH","01/27/2019","5389","N518AE","DAY","12:10","12:13","72","62","3","12:26","13","0","0","0","0","0"
"OH","01/28/2019","5048","N537EA","DAY","22:05","00:00","62","0","0","00:00","0","0","0","0","0","0"
"OH","01/28/2019","5127","","STL","07:15","00:00","80","0","0","00:00","0","0","0","0","0","0"
"OH","01/28/2019","5157","N514AE","LEX","08:14","00:00","77","0","0","00:00","0","0","0","0","0","0"
"OH","01/28/2019","5252","N725PS","DAY","18:19","00:00","68","0","0","00:00","0","0","0","0","0","0"
"OH","01/28/2019","5255","N725PS","DAY","12:10","00:00","72","0","0","00:00","0","0","0","0","0","0"
"OH","01/29/2019","5048","N501BG","DAY","22:05","22:04","62","58","-1","22:16","12","0","0","0","0","0"
"OH","01/29/2019","5127","N725PS","STL","07:15","00:00","80","0","0","00:00","0","0","0","0","0","0"
"OH","01/29/2019","5252","N537EA","DAY","18:19","18:45","68","63","26","19:01","16","0","21","0","0","0"
"OH","01/29/2019","5255","N537EA","DAY","12:10","00:00","72","0","0","00:00","0","0","0","0","0","0"
"OH","01/30/2019","5048","N516AE","DAY","22:05","00:00","62","0","0","00:00","0","0","0","0","0","0"
"OH","01/30/2019","5127","N501BG","STL","07:15","00:00","80","0","0","00:00","0","0","0","0","0","0"
"OH","01/30/2019","5252","N248PS","DAY","18:19","00:00","68","0","0","00:00","0","0","0","0","0","0"
"OH","01/30/2019","5255","","DAY","12:10","00:00","72","0","0","00:00","0","0","0","0","0","0"
"OH","01/31/2019","5048","","DAY","22:05","00:00","62","0","0","00:00","0","0","0","0","0","0"
"OH","01/31/2019","5127","N516AE","STL","07:15","00:00","80","0","0","00:00","0","0","0","0","0","0"
"OH","01/31/2019","5157","N518AE","LEX","08:14","00:00","77","0","0","00:00","0","0","0","0","0","0"
"OH","01/31/2019","5252","","DAY","18:19","00:00","68","0","0","00:00","0","0","0","0","0","0"
"OH","01/31/2019","5255","","DAY","12:10","00:00","72","0","0","00:00","0","0","0","0","0","0"
"OH","02/01/2019","5048","N501BG","DAY","22:05","22:08","62","66","3","22:27","19","0","0","0","0","0"
"OH","02/01/2019","5127","N534EA","STL","07:15","08:15","80","70","60","08:33","18","0","42","0","0","8"
"OH","02/01/2019","5157","N708PS","LEX","08:14","10:08","77","90","114","10:40","32","0","0","13","0","114"
"OH","02/01/2019","5252","N702PS","DAY","18:19","18:24","68","61","5","18:41","17","0","0","0","0","0"
"OH","02/01/2019","5255","N702PS","DAY","12:10","12:08","72","71","-2","12:29","21","0","0","0","0","0"
"OH","02/02/2019","5048","N516AE","DAY","22:05","21:56","62","52","-9","22:10","14","0","0","0","0","0"
"OH","02/02/2019","5127","N702PS","STL","07:15","07:11","80","86","-4","07:39","28","0","0","0","0","0"
"OH","02/02/2019","5252","N539EA","DAY","18:19","18:21","68","67","2","18:42","21","0","0","0","0","0"
"OH","02/03/2019","5048","N500AE","DAY","22:05","21:59","62","57","-6","22:13","14","0","0","0","0","0"
"OH","02/03/2019","5127","N539EA","STL","07:15","07:16","80","68","1","07:28","12","0","0","0","0","0"
"OH","02/03/2019","5157","N506AE","LEX","08:14","08:19","77","73","5","08:36","17","0","0","0","0","0"
"OH","02/03/2019","5252","N546FF","DAY","18:19","18:24","68","68","5","18:42","18","0","0","0","0","0"
"OH","02/03/2019","5389","N546FF","DAY","12:10","12:15","72","73","5","12:41","26","0","0","0","0","0"
"OH","02/04/2019","5048","N544AE","DAY","22:05","22:00","62","57","-5","22:12","12","0","0","0","0","0"
"OH","02/04/2019","5127","N546FF","STL","07:15","07:13","80","70","-2","07:27","14","0","0","0","0","0"
"OH","02/04/2019","5157","N501BG","LEX","08:14","08:05","77","76","-9","08:22","17","0","0","0","0","0"
"OH","02/04/2019","5252","N507AE","DAY","18:19","18:17","68","89","-2","19:04","47","0","0","19","0","0"
"OH","02/04/2019","5255","N507AE","DAY","12:10","12:08","72","76","-2","12:38","30","0","0","0","0","0"
"OH","02/05/2019","5048","N514AE","DAY","22:05","00:00","62","0","0","00:00","0","0","0","0","0","0"
"OH","02/05/2019","5127","N505AE","STL","07:15","07:39","80","72","24","07:52","13","16","0","0","0","0"
"OH","02/05/2019","5252","N521AE","DAY","18:19","18:14","68","82","-5","18:42","28","0","0","0","0","0"
"OH","02/05/2019","5255","N521AE","DAY","12:10","12:12","72","68","2","12:27","15","0","0","0","0","0"
"OH","02/06/2019","5048","N508AE","DAY","22:05","21:54","62","62","-11","22:05","11","0","0","0","0","0"
"OH","02/06/2019","5127","N521AE","STL","07:15","07:14","80","63","-1","07:22","8","0","0","0","0","0"
"OH","02/06/2019","5252","N514AE","DAY","18:19","18:21","68","65","2","18:36","15","0","0","0","0","0"
"OH","02/06/2019","5255","N514AE","DAY","12:10","12:01","72","89","-9","12:22","21","0","0","0","0","0"
"OH","02/07/2019","5048","N518AE","DAY","22:05","22:04","62","78","-1","22:31","27","0","0","15","0","0"
"OH","02/07/2019","5127","N507AE","STL","07:15","07:14","80","83","-1","07:43","29","0","0","0","0","0"
"OH","02/07/2019","5157","N508AE","LEX","08:14","08:11","77","82","-3","08:31","20","0","0","0","0","0"
"OH","02/07/2019","5252","N534EA","DAY","18:19","18:17","68","68","-2","18:36","19","0","0","0","0","0"
"OH","02/07/2019","5255","N534EA","DAY","12:10","12:10","72","69","0","12:27","17","0","0","0","0","0"
"OH","02/08/2019","5048","N719PS","DAY","22:05","22:05","62","63","0","22:20","15","0","0","0","0","0"
"OH","02/08/2019","5127","N545PB","STL","07:15","07:15","80","65","0","07:25","10","0","0","0","0","0"
"OH","02/08/2019","5157","N534EA","LEX","08:14","08:10","77","72","-4","08:21","11","0","0","0","0","0"
"OH","02/08/2019","5252","N521AE","DAY","18:19","18:29","68","72","10","18:58","29","0","0","0","0","0"
"OH","02/08/2019","5255","N521AE","DAY","12:10","12:10","72","59","0","12:25","15","0","0","0","0","0"
"OH","02/09/2019","5048","N500AE","DAY","22:05","21:56","62","52","-9","22:07","11","0","0","0","0","0"
"OH","02/09/2019","5127","N708PS","STL","07:15","07:12","80","66","-3","07:22","10","0","0","0","0","0"
"OH","02/09/2019","5252","N719PS","DAY","18:19","18:18","68","62","-1","18:34","16","0","0","0","0","0"
"OH","02/10/2019","5048","N712PS","DAY","22:05","22:49","62","66","44","23:07","18","0","31","4","0","13"
"OH","02/10/2019","5127","N516AE","STL","07:15","00:00","80","0","0","00:00","0","0","0","0","0","0"
"OH","02/10/2019","5157","N540EA","LEX","08:14","08:05","77","72","-9","08:16","11","0","0","0","0","0"
"OH","02/10/2019","5252","N530EA","DAY","18:19","18:35","68","62","16","18:53","18","0","0","0","0","0"
"OH","02/10/2019","5389","N530EA","DAY","12:10","12:09","72","60","-1","12:20","11","0","0","0","0","0"
